sent_malicious_packet_ratio,recv_malicious_packet_ratio,avg_gap_sent_rt,avg_gap_recv_rt,avg_len_sent_frame,avg_len_recv_frame,send_recv_ratio,estimated_behaviour
0,0,5.433815,24.977621,412.666656,337,0.923077,nocryptojacking
0,0,0.091953,2.055165,276.714294,732.090881,0.636364,nocryptojacking
0,0,0.068945,61.265335,356.5,522.200012,0.4,nocryptojacking
0,0,0.025501,30.010099,255.666672,427.111115,0.666667,nocryptojacking
0,0,0.070262,61.26297,356.5,594.799988,0.4,nocryptojacking
0,0,0.0419,0.02155,318.666656,691.799988,0.6,nocryptojacking
0,0,5.37688,16.616096,438.583344,619.631592,0.631579,nocryptojacking
0,0,30.08466,30.084301,109,106,1,nocryptojacking
0,0.144578,6.019307,3.817027,254.94339,904.554199,0.638554,nocryptojacking
0,0,0.059448,0.025757,400,476,1,nocryptojacking
0,0,0.074677,0.02446,356.5,1248,0.666667,nocryptojacking
0,0,0.022749,0.005592,289.25,537.857117,0.857143,nocryptojacking
0,0.142857,0.029517,0.012767,293.833344,600.428589,0.857143,nocryptojacking
0,0,5.967683,24.970087,404.454559,339.461548,0.846154,nocryptojacking
0,0,0.098994,2.057892,276.714294,732.090881,0.636364,nocryptojacking
0,0,0.100436,61.278278,356.5,522.200012,0.4,nocryptojacking
0,0,0.026851,30.013783,327,441,0.666667,nocryptojacking
0,0,0.082981,61.263393,356.5,872.799988,0.4,nocryptojacking
0,0,0.087199,61.267021,356.5,595,0.4,nocryptojacking
0,0,0.045068,0.02674,318.666656,692,0.6,nocryptojacking
0,0,5.371215,16.614876,379,621.736816,0.631579,nocryptojacking
0,0.169014,5.805668,4.395614,253.740738,784.690125,0.760563,nocryptojacking
0,0,0.398267,0.169927,391.5,712.875,0.5,nocryptojacking
0,0,38.149471,33.907005,313.333344,516.599976,0.9,nocryptojacking
0,0,0.10482,61.26757,361.5,939.599976,0.4,nocryptojacking
0,0,19.137728,17.02528,288.117645,324.210541,0.894737,nocryptojacking
0,0,0.065994,61.264641,356.5,523.200012,0.4,nocryptojacking
0,0,0.062364,61.265762,361.5,661,0.4,nocryptojacking
0,0,0.021741,48.019363,250.833328,457,1,nocryptojacking
0,0.125,0.02597,34.298927,294,512.5,0.75,nocryptojacking
0,0,0.022372,34.300327,316.857147,642.75,0.875,nocryptojacking
0,0,16.814884,15.125798,402.368408,383.285706,0.904762,nocryptojacking
0,0,20.27133,14.471482,336.5,220.681824,0.727273,nocryptojacking
0,0,30.998936,30.998793,101,97,1,nocryptojacking
0,0,30.063789,30.063747,109,106,1,nocryptojacking
0,0,5.419601,24.964392,416.833344,351.538452,0.923077,nocryptojacking
0,0,0.373261,1.883264,257.875,804,0.615385,nocryptojacking
0,0,0.083375,61.26292,356.5,522.400024,0.4,nocryptojacking
0,0,0.027602,30.012819,327,421.888885,0.666667,nocryptojacking
0,0,0.070107,61.261436,356.5,595.200012,0.4,nocryptojacking
0,0,0.073202,61.262173,356.5,595,0.4,nocryptojacking
0,0,0.044219,0.021904,318.666656,692.200012,0.6,nocryptojacking
0,0,4.540838,12.999304,444.785706,604.875,0.583333,nocryptojacking
0,0.27907,5.901266,7.306248,243.037735,452.279083,1.232558,nocryptojacking
0,0,18.030802,13.337969,332.055542,452.25,0.75,nocryptojacking
0,0,38.040138,30.429001,311,474.818176,0.818182,nocryptojacking
0,0,0.018011,48.010578,250.333328,456.666656,1,nocryptojacking
0,0,0.066694,0.001983,356.5,821,1,nocryptojacking
0,0,0.103768,2.290596,276.714294,796.5,0.7,nocryptojacking
0,0,5.430765,24.972916,430.25,328.307678,0.923077,nocryptojacking
0,0,0.093236,61.268852,356.5,522.400024,0.4,nocryptojacking
0,0,0.02458,30.012865,327,451.555542,0.666667,nocryptojacking
0,0,0.062286,61.262878,356.5,595.200012,0.4,nocryptojacking
0,0,0.072873,61.270264,356.5,595,0.4,nocryptojacking
0,0,0.038693,0.022661,318.666656,692,0.6,nocryptojacking
0,0,5.36801,17.586885,441.916656,642.166687,0.666667,nocryptojacking
0,0,0.052366,16.271978,356.5,600.400024,0.4,nocryptojacking
0,0,31.000021,30.999893,109,106,1,nocryptojacking
0,0.171429,6.123585,4.526045,255.75,800.5,0.742857,nocryptojacking
0,0,0.033932,30.021439,287,474.777771,0.777778,nocryptojacking
0,0,62.052208,34.472824,383.5,603.400024,0.6,nocryptojacking
0,0,0.038395,34.308815,240.166672,437.375,0.75,nocryptojacking
0,0,0.099418,2.059718,276.714294,732.090881,0.636364,nocryptojacking
0,0,0.072492,61.268085,356.5,522.400024,0.4,nocryptojacking
0,0,0.728711,14.501889,305.399994,423.888885,0.555556,nocryptojacking
0,0,0.069248,61.268536,356.5,595,0.4,nocryptojacking
0,0,0.038264,0.018344,318.666656,691.799988,0.6,nocryptojacking
0,0,3.481234,13.597132,397.388885,646.608704,0.782609,nocryptojacking
0,0,6.602244,23.030682,524.099976,584,0.714286,nocryptojacking
0,0,30.999464,31.000071,101,97,1,nocryptojacking
0,0,0.032213,34.310493,256.571442,526.5,0.875,nocryptojacking
